idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
7463,mun9,34, $492.5 , $581.6 , $193.9 , $356.9 , $93.6 , $263.3 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7464,mun9,34, $379.0 , $427.0 , $213.5 , $393.1 , $52.6 , $340.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7465,mun9,34, $426.5 , $558.5 , $186.2 , $342.8 , $110.7 , $232.0 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7466,mun9,34, $145.0 , $198.2 , $198.2 , $365.0 , $141.3 , $223.6 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7467,mun9,34, $195.0 , $286.0 , $143.0 , $263.2 , $104.0 , $159.2 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7468,mun9,34, $612.9 , $686.9 , $171.7 , $316.1 , $55.0 , $261.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7469,mun9,34, $150.0 , $211.8 , $52.9 , $97.5 , $98.1 , $(0.6),1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
7470,mun9,34," $1,182.5 "," $1,301.9 ", $260.4 , $479.4 , $122.8 , $356.6 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7471,mun9,34, $520.0 , $594.9 , $198.3 , $365.1 , $109.3 , $255.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7472,mun9,46, $352.5 , $437.2 , $145.7 , $268.3 , $108.1 , $160.2 ,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7473,mun9,46, $600.0 , $737.0 , $184.3 , $339.2 , $84.5 , $254.7 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7474,mun9,46," $1,400.0 "," $1,499.9 ", $300.0 , $552.3 , $60.9 , $491.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7475,mun9,46, $966.8 ," $1,045.9 ", $348.6 , $641.9 , $118.2 , $523.7 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7476,mun9,47, $294.2 , $447.7 , $447.7 , $824.2 , $121.6 , $702.6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7477,mun9,46, $925.4 ," $1,000.9 ", $250.2 , $460.7 , $93.2 , $367.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7478,mun9,47," $2,936.8 "," $3,055.1 ", $763.8 ," $1,406.2 ", $90.9 ," $1,315.3 ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7479,mun9,47," $1,865.6 "," $1,956.0 ", $489.0 , $900.3 , $112.7 , $787.6 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7480,mun9,46, $402.5 , $466.4 , $116.6 , $214.6 , $97.6 , $117.1 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7481,mun9,47, $297.1 , $386.9 , $386.9 , $712.2 , $94.9 , $617.3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7482,mun9,46, $811.7 , $937.4 , $468.7 , $862.9 , $110.8 , $752.2 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
